Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
68,3.0,0.0,0.0,766.0,8.0,96.0,5450.0,0.1,78.30599999999998,0.0,0.0,1028.9615199565887,,,,,,,,,,,,,,,,,,,,,32.42503691495867,24.72275941378796,75.3438087298149,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,817.0,9.0,51.0,5501.0,0.1,27.20800000000002,0.0,0.0,1033.8931393623352,,,,,,,,,,,,,,,,,,,,,9.57927834988523,8.718026174931929,26.772975983146154,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,854.0,10.0,37.0,5538.0,0.1,21.205000000000016,0.0,0.0,1037.450344800949,,,,,,,,,,,,,,,,,,,,,7.173348837517301,7.186286448508078,20.981528167819334,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,949.0,11.0,95.0,5633.0,0.1,52.206,0.0,0.0,1045.9358932971954,,,,,,,,,,,,,,,,,,,,,24.40140268255848,15.863717396294085,49.98779234204872,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,1090.0,12.0,141.0,5774.0,0.1,86.30599999999995,0.0,0.0,1058.3236546516418,,,,,,,,,,,,,,,,,,,,,36.189091406765804,24.300911357817373,81.36598872310353,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,1185.0,13.0,95.0,5869.0,0.1,66.207,0.0,0.0,1066.7763006687164,,,,,,,,,,,,,,,,,,,,,26.172004296435617,19.969410474913484,63.84829232820272,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,1342.0,14.0,157.0,6026.0,0.1,98.507,0.0,0.0,1080.731766462326,,,,,,,,,,,,,,,,,,,,,46.660746617919926,29.468625784476227,91.36389921551842,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,1450.0,15.0,108.0,6134.0,0.1,69.305,0.0,0.0,1090.3005998134613,,,,,,,,,,,,,,,,,,,,,26.371135006877935,20.109826311705802,66.5900308910083,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,1494.0,16.0,44.0,6178.0,0.1,19.406000000000027,0.0,0.0,1094.4520771503448,,,,,,,,,,,,,,,,,,,,,5.540829608443827,6.199505235514109,19.200585467578165,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,1548.0,17.0,54.0,6232.0,0.1,27.70900000000002,0.0,0.0,1099.4854247570038,,,,,,,,,,,,,,,,,,,,,9.825730303652128,8.890161672682583,27.232849028811373,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.0,0.0,0.0,1600.0,18.0,52.0,6284.0,0.1,29.208000000000027,0.0,0.0,1104.5405740737915,,,,,,,,,,,,,,,,,,,,,9.231822935006806,9.771700420270726,28.785487396685625,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.0,0.0,0.0,1658.0,19.0,58.0,6342.0,0.1,29.905000000000026,0.0,0.0,1109.9403669834137,,,,,,,,,,,,,,,,,,,,,11.58150271533906,8.706608063628222,29.29182720509332,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,3.0,0.0,0.0,1705.0,20.0,47.0,6389.0,0.1,28.90600000000002,0.0,0.0,1114.3088839054108,,,,,,,,,,,,,,,,,,,,,9.94264856467919,9.75629872144715,28.4956583384787,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4.0,0.0,0.0,79.0,1.0,79.0,6468.0,0.1,55.20799999999999,0.0,0.0,1301.9712376594543,,,,,,,,,,,,,,,,,,,,,21.224692835276343,17.394257565060116,53.63847257268596,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4.0,0.0,0.0,239.0,2.0,160.0,6628.0,0.1,71.92699999999999,0.0,0.0,1316.1127920150757,,,,,,,,,,,,,,,,,,,,,27.93707525814416,21.07131961510793,67.5921847359842,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4.0,0.0,0.0,377.0,3.0,138.0,6766.0,0.1,85.10600000000002,0.0,0.0,1328.2410781383514,,,,,,,,,,,,,,,,,,,,,34.94728713914436,22.907797611009393,80.4440820949058,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4.0,0.0,0.0,506.0,4.0,129.0,6895.0,0.1,82.30600000000001,0.0,0.0,1339.5807387828827,,,,,,,,,,,,,,,,,,,,,37.67663313848172,23.307361002082423,77.60083840109968,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4.0,0.0,0.0,636.0,5.0,130.0,7025.0,0.1,79.70599999999988,0.0,0.0,1351.264342546463,,,,,,,,,,,,,,,,,,,,,31.678790421890774,23.580934755348363,75.73915982564569,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4.0,0.0,0.0,723.0,6.0,87.0,7112.0,0.1,55.507,0.0,0.0,1359.1441187858582,,,,,,,,,,,,,,,,,,,,,22.168573115435436,17.088349243944144,53.68565175681899,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,4.0,0.0,0.0,875.0,7.0,152.0,7264.0,0.1,52.42500000000002,0.0,0.0,1372.4464523792267,,,,,,,,,,,,,,,,,,,,,20.091470895592963,12.467349813019181,49.46998692773845,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,4.0,0.0,0.0,1070.0,8.0,195.0,7459.0,0.1,168.30599999999998,0.0,0.0,1389.3670670986176,,,,,,,,,,,,,,,,,,,,,73.91289861536504,46.89584686816923,154.20123303484067,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,4.0,0.0,0.0,1098.0,9.0,28.0,7487.0,0.1,13.604999999999995,0.0,0.0,1392.4993164539337,,,,,,,,,,,,,,,,,,,,,4.296146753456706,4.648371215644002,13.511717814815032,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,4.0,0.0,0.0,1168.0,10.0,70.0,7557.0,0.1,46.706999999999994,0.0,0.0,1398.9954962730408,,,,,,,,,,,,,,,,,,,,,17.861040723993316,14.650800581344079,45.54777715585503,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,4.0,0.0,0.0,1385.0,11.0,217.0,7774.0,0.1,131.60599999999982,0.0,0.0,1417.7564942836761,,,,,,,,,,,,,,,,,,,,,52.217829232727794,33.24648605210002,120.51564182450531,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,4.0,0.0,0.0,1630.0,12.0,245.0,8019.0,0.1,129.50499999999974,0.0,0.0,1438.900505065918,,,,,,,,,,,,,,,,,,,,,51.06191018629195,34.261143548246736,117.22917312142832,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,4.0,0.0,0.0,1684.0,13.0,54.0,8073.0,0.1,32.310999999999986,0.0,0.0,1443.8846662044525,,,,,,,,,,,,,,,,,,,,,10.597237759715265,10.926916164918287,31.80232200265869,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,4.0,0.0,0.0,1966.0,14.0,282.0,8355.0,0.1,201.61099999999985,0.0,0.0,1468.4595003128052,,,,,,,,,,,,,,,,,,,,,83.12023754731548,54.122855381034405,178.52797042453582,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,4.0,0.0,0.0,2078.0,15.0,112.0,8467.0,0.1,60.308000000000014,0.0,0.0,1478.384604692459,,,,,,,,,,,,,,,,,,,,,22.62311591448377,17.973995494832423,57.88993299363211,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,4.0,0.0,0.0,2144.0,16.0,66.0,8533.0,0.1,28.307000000000016,0.0,0.0,1484.4850573539734,,,,,,,,,,,,,,,,,,,,,10.992668273470553,8.427500476558247,27.636729716654543,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,4.0,0.0,0.0,2192.0,17.0,48.0,8581.0,0.1,25.207000000000026,0.0,0.0,1489.0296626091003,,,,,,,,,,,,,,,,,,,,,7.73732943662657,8.343257932414746,24.885354009707328,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,4.0,0.0,0.0,2374.0,18.0,182.0,8763.0,0.1,88.91799999999989,0.0,0.0,1505.1361300945282,,,,,,,,,,,,,,,,,,,,,35.34586199224081,24.365251707029746,82.65027100915952,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,4.0,0.0,0.0,2541.0,19.0,167.0,8930.0,0.1,84.70699999999974,0.0,0.0,1519.9485592842102,,,,,,,,,,,,,,,,,,,,,30.52913031823203,23.14126537182433,79.76809165206775,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4.0,0.0,0.0,3301.0,20.0,760.0,9690.0,0.1,496.90500000000077,0.0,0.0,1584.656166791916,,,,,,,,,,,,,,,,,,,,,189.9039444214589,103.81748248848807,353.2842173902539,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
